subnum,group,sex,actuhap,ideahap,depress,rigoract,cultatt,temperatt
1000,1,0,0.375469631,1.213003401,26,1,4.5,0.333333333
1001,1,0,1.014843294,1.036527047,10,2,4.166666667,2
1002,1,0,-0.683763459,1.205741155,37,3,3.166666667,-0.333333333
1003,1,0,1.094685181,0.555145202,12,2,5.166666667,1.5
1004,1,0,0.247044007,0.864544258,7,0,6.333333333,1.166666667
1005,1,0,-0.058789635,0.858171183,16, ,5.5,-0.166666667
1006,1,0,0.329199073,0.752035383,29,2,4.666666667,1
1007,1,1,0.375469631,0.675845335,33,3,4.333333333,0.666666667
1008,1,0,0.761602107,0.792037512,18,0,4.666666667,0.666666667
1009,1,0,0.731925055,0.955859321,11,1,4.833333333,0.666666667
1010,1,0,1.168187337,1.040897255, , ,4,0.833333333
1011,1,1,0.369274473,0.285976562,7,0,3.666666667,0.5
1012,1,0,-0.905185032,0.018156826,19,1,3.333333333,-0.333333333
1013,1,0,0.864483975,1.204467152, , ,6.333333333,0.333333333
1014,1,0,0.881067718,0.409461512,5,0,5.5,0.833333333
1016,1,0,0.103509834,0.951211177,33,0,6.166666667,0.333333333
1017,1,1,-0.860518706,0.434387318,20,0,3.666666667,-0.166666667
1018,1,1,0.964406804,0.930695806,9,2,5,1.333333333
1019,1,1,0.156354341,0.01742185,11,0,2.166666667,-0.166666667
1020,1,1,0.879396411,0.735499178,17,1,4.833333333,0.833333333
1021,1,0,-0.166666667,1.179524675,8,0,5.666666667,0.5
1023,1,0,1.140976301,1.373100971, , ,6,1.5
1024,1,1,-0.27224533,0.829925003,5,0,5.166666667,1.333333333
1025,1,0,0.166666667,1.056500704,7,0,3,0.666666667
1026,1,1,-0.325881677,0.182089925,20,0,4.5,0
1028,1,1,-0.233628359,-0.093498301,5,0,6.166666667,0.666666667
1029,1,1,0.258774585,0.787069106, , ,3.333333333,0.833333333
1032,1,0,0.229673814,0.853185408,1,1,4.333333333,1
1033,1,0,0.925018316,0.740245722,6,2,5.166666667,1
1035,1,0,0.433766423,0.205419736, , ,3.5,-0.333333333
1036,1,1,-0.255319349,0.711174193,20,7,4.666666667,0.5
1038,1,0,0.9258201,0.471642314,17,0,4.5,0.333333333
1040,1,1,-0.550539703,1.148320998,15,1,6,0.333333333
1041,1,0,0.723422641,0.662768404,9,0,3.833333333,0.166666667
1042,1,1,0.400891863,0.73852954,9,1,5,0.666666667
1043,1,1,0.75,1.034484462,12,0,4.833333333,1
1044,1,0,0.866872373,1.246779386,9,0,5.166666667,0.666666667
1046,1,0,0.525354139,0.741619849,9,0,3.666666667,0.333333333
1047,1,0,0.457850772,0.548539282,2,0,5,0.666666667
1048,1,0,0.038310708,0.774350203,23,0,3.833333333,-0.5
1050,1,1,0.929730899,1.440642004,2,0,6.5,1.5
1051,1,1,0.903696114,0.832011337,1,0,5.833333333,1.333333333
1053,1,0,0.854445027,0.941838455,12,0,5.166666667,0.166666667
1054,1,0,0.802257453,0.968245837,24,0,5.333333333,1.833333333
1056,1,1,0.650413891,1.369899039,6,2,4.666666667,0.666666667
1057,1,1,0.981189984,0.912591212,7,0,3.833333333,1.833333333
